city,term,url
Silver Spring,dentists,"https://www.google.com/maps/search/silver+spring+maryland+dentists/@39.0028,-77.0207,12z/"
Deerfield Beach,dentists,"https://www.google.com/maps/search/deerfield+beach+florida+dentists/@26.305,-80.1277,12z/"
Tustin,dentists,"https://www.google.com/maps/search/tustin+california+dentists/@33.7311,-117.8107,12z/"
Lebanon,dentists,"https://www.google.com/maps/search/lebanon+pennsylvania+dentists/@40.3412,-76.4228,12z/"
Yauco,dentists,"https://www.google.com/maps/search/yauco+puerto+rico+dentists/@18.0344,-66.8615,12z/"
Mountain View,dentists,"https://www.google.com/maps/search/mountain+view+california+dentists/@37.4001,-122.0796,12z/"
Lawrence,dentists,"https://www.google.com/maps/search/lawrence+massachusetts+dentists/@42.7002,-71.1626,12z/"
Chicago,oral surgery,"https://www.google.com/maps/search/chicago+illinois+oral+surgery/@41.8375,-87.6866,12z/"
Miami,oral surgery,"https://www.google.com/maps/search/miami+florida+oral+surgery/@25.784,-80.2101,12z/"
Philadelphia,oral surgery,"https://www.google.com/maps/search/philadelphia+pennsylvania+oral+surgery/@40.0077,-75.1339,12z/"
Washington,oral surgery,"https://www.google.com/maps/search/washington+district+of+columbia+oral+surgery/@38.9047,-77.0163,12z/"
Boston,oral surgery,"https://www.google.com/maps/search/boston+massachusetts+oral+surgery/@42.3188,-71.0852,12z/"
Detroit,oral surgery,"https://www.google.com/maps/search/detroit+michigan+oral+surgery/@42.3834,-83.1024,12z/"
San Francisco,oral surgery,"https://www.google.com/maps/search/san+francisco+california+oral+surgery/@37.7558,-122.4449,12z/"
Seattle,oral surgery,"https://www.google.com/maps/search/seattle+washington+oral+surgery/@47.6211,-122.3244,12z/"
San Diego,oral surgery,"https://www.google.com/maps/search/san+diego+california+oral+surgery/@32.8313,-117.1222,12z/"
Minneapolis,oral surgery,"https://www.google.com/maps/search/minneapolis+minnesota+oral+surgery/@44.9635,-93.2678,12z/"
Brooklyn,oral surgery,"https://www.google.com/maps/search/brooklyn+new+york+oral+surgery/@40.6501,-73.9496,12z/"
Denver,oral surgery,"https://www.google.com/maps/search/denver+colorado+oral+surgery/@39.762,-104.8758,12z/"
Queens,oral surgery,"https://www.google.com/maps/search/queens+new+york+oral+surgery/@40.7498,-73.7976,12z/"
Baltimore,oral surgery,"https://www.google.com/maps/search/baltimore+maryland+oral+surgery/@39.3051,-76.6144,12z/"
Las Vegas,oral surgery,"https://www.google.com/maps/search/las+vegas+nevada+oral+surgery/@36.2333,-115.2654,12z/"
St. Louis,oral surgery,"https://www.google.com/maps/search/st.+louis+missouri+oral+surgery/@38.6359,-90.2451,12z/"
Portland,oral surgery,"https://www.google.com/maps/search/portland+oregon+oral+surgery/@45.5371,-122.65,12z/"
Sacramento,oral surgery,"https://www.google.com/maps/search/sacramento+california+oral+surgery/@38.5677,-121.4685,12z/"
San Juan,oral surgery,"https://www.google.com/maps/search/san+juan+puerto+rico+oral+surgery/@18.3985,-66.061,12z/"
San Jose,oral surgery,"https://www.google.com/maps/search/san+jose+california+oral+surgery/@37.3012,-121.848,12z/"
Cleveland,oral surgery,"https://www.google.com/maps/search/cleveland+ohio+oral+surgery/@41.4764,-81.6805,12z/"
Pittsburgh,oral surgery,"https://www.google.com/maps/search/pittsburgh+pennsylvania+oral+surgery/@40.4397,-79.9763,12z/"
Manhattan,oral surgery,"https://www.google.com/maps/search/manhattan+new+york+oral+surgery/@40.7834,-73.9662,12z/"
Bronx,oral surgery,"https://www.google.com/maps/search/bronx+new+york+oral+surgery/@40.8501,-73.8662,12z/"
Milwaukee,oral surgery,"https://www.google.com/maps/search/milwaukee+wisconsin+oral+surgery/@43.0642,-87.9675,12z/"
Providence,oral surgery,"https://www.google.com/maps/search/providence+rhode+island+oral+surgery/@41.823,-71.4187,12z/"
Bridgeport,oral surgery,"https://www.google.com/maps/search/bridgeport+connecticut+oral+surgery/@41.1918,-73.1954,12z/"
Buffalo,oral surgery,"https://www.google.com/maps/search/buffalo+new+york+oral+surgery/@42.9018,-78.8487,12z/"
Hartford,oral surgery,"https://www.google.com/maps/search/hartford+connecticut+oral+surgery/@41.7661,-72.6834,12z/"
Honolulu,oral surgery,"https://www.google.com/maps/search/honolulu+hawaii+oral+surgery/@21.3294,-157.846,12z/"
Rochester,oral surgery,"https://www.google.com/maps/search/rochester+new+york+oral+surgery/@43.168,-77.6162,12z/"
Fresno,oral surgery,"https://www.google.com/maps/search/fresno+california+oral+surgery/@36.783,-119.7939,12z/"
Allentown,oral surgery,"https://www.google.com/maps/search/allentown+pennsylvania+oral+surgery/@40.5961,-75.4756,12z/"
Concord,oral surgery,"https://www.google.com/maps/search/concord+california+oral+surgery/@37.9722,-122.0016,12z/"
Springfield,oral surgery,"https://www.google.com/maps/search/springfield+massachusetts+oral+surgery/@42.1155,-72.5395,12z/"
Grand Rapids,oral surgery,"https://www.google.com/maps/search/grand+rapids+michigan+oral+surgery/@42.9619,-85.6562,12z/"
Mission Viejo,oral surgery,"https://www.google.com/maps/search/mission+viejo+california+oral+surgery/@33.6096,-117.6551,12z/"
Albany,oral surgery,"https://www.google.com/maps/search/albany+new+york+oral+surgery/@42.6664,-73.7987,12z/"
New Haven,oral surgery,"https://www.google.com/maps/search/new+haven+connecticut+oral+surgery/@41.3113,-72.9246,12z/"
Worcester,oral surgery,"https://www.google.com/maps/search/worcester+massachusetts+oral+surgery/@42.2705,-71.8079,12z/"
Staten Island,oral surgery,"https://www.google.com/maps/search/staten+island+new+york+oral+surgery/@40.5834,-74.1496,12z/"
Harrisburg,oral surgery,"https://www.google.com/maps/search/harrisburg+pennsylvania+oral+surgery/@40.2752,-76.8843,12z/"
Long Beach,oral surgery,"https://www.google.com/maps/search/long+beach+california+oral+surgery/@33.7977,-118.167,12z/"
Lancaster,oral surgery,"https://www.google.com/maps/search/lancaster+pennsylvania+oral+surgery/@40.042,-76.3012,12z/"
Poughkeepsie,oral surgery,"https://www.google.com/maps/search/poughkeepsie+new+york+oral+surgery/@41.695,-73.9211,12z/"
Oakland,oral surgery,"https://www.google.com/maps/search/oakland+california+oral+surgery/@37.7904,-122.2166,12z/"
Syracuse,oral surgery,"https://www.google.com/maps/search/syracuse+new+york+oral+surgery/@43.0407,-76.1437,12z/"
Arlington,oral surgery,"https://www.google.com/maps/search/arlington+texas+oral+surgery/@32.6998,-97.125,12z/"
Stockton,oral surgery,"https://www.google.com/maps/search/stockton+california+oral+surgery/@37.9765,-121.3109,12z/"
Oxnard,oral surgery,"https://www.google.com/maps/search/oxnard+california+oral+surgery/@34.1964,-119.1815,12z/"
Modesto,oral surgery,"https://www.google.com/maps/search/modesto+california+oral+surgery/@37.6375,-121.0028,12z/"
Anaheim,oral surgery,"https://www.google.com/maps/search/anaheim+california+oral+surgery/@33.839,-117.8574,12z/"
Santa Ana,oral surgery,"https://www.google.com/maps/search/santa+ana+california+oral+surgery/@33.7367,-117.8819,12z/"
Ann Arbor,oral surgery,"https://www.google.com/maps/search/ann+arbor+michigan+oral+surgery/@42.2759,-83.731,12z/"
Santa Rosa,oral surgery,"https://www.google.com/maps/search/santa+rosa+california+oral+surgery/@38.4458,-122.7067,12z/"
